,Ticker,ETF
347,KIND,ARKW
348,KLAC,QQQ
349,KMDA,IZRL
350,KMTUY,ARKQ
351,KNBE,"XSW,HACK"
352,KO,MTUM
353,KR,MTUM
354,KRNT,IZRL
355,KTOS,"ARKQ,ARKX"
356,L,MTUM
357,LAW,XSW
358,LBRDK,QQQJ
359,LBTYA,QQQJ
360,LBTYK,QQQJ
361,LCID,QQQ
362,LDOS,HACK
363,LHX,ARKX
364,LI,QQQJ
365,LIN,FFTY
366,LKQ,QQQJ
367,LLY,"MTUM,FFTY"
368,LMT,"MTUM,ARKQ,ARKX"
369,LNG,MTUM
370,LNT,QQQJ
371,LOGI,QQQJ
372,LPLA,MTUM
373,LPSN,XSW
374,LRCX,QQQ
375,LSCC,PTF
376,LULU,QQQ
377,LYFT,QQQJ
378,MA,XSW
379,MAA,MTUM
380,MANH,"QQQJ,PSJ,XSW"
381,MANT,HACK
382,MAR,QQQ
383,MARA,XSW
384,MASI,QQQJ
385,MASS,ARKG
386,MAXN,TAN
387,MCHP,QQQ
388,MCK,MTUM
389,MDB,QQQJ
390,MDLZ,QQQ
391,MDRX,PSJ
392,MELI,"QQQ,ARKF,ARKW"
393,META,QQQ
394,MGA,ARKQ
395,MGI,XSW
396,MGIC,IZRL
397,MITK,XSW
398,MKC,MTUM
399,MKFG,"ARKQ,ARKX"
400,MLI,FFTY
401,MLNK,PSJ
402,MMC,MTUM
403,MMS,XSW
404,MNDT,"XSW,HACK"
405,MNDY,"QQQJ,ARKW,IZRL"
406,MNRL,FFTY
407,MNST,QQQ
408,MNTV,XSW
409,MO,MTUM
410,MODN,XSW
411,MOS,MTUM
412,MPC,MTUM
413,MPWR,"QQQJ,PTF"
414,MQ,XSW
415,MRK,MTUM
416,MRNA,QQQ
417,MRO,MTUM
418,MRVL,QQQ
419,MSFT,"QQQ,PTF,XSW"
420,MSTR,XSW
421,MTCH,QQQ
422,MTDR,FFTY
423,MTLS,"ARKK,ARKQ"
424,MTRX,IZRL
425,MTTR,"XSW,ARKQ"
426,MU,QQQ
427,MUSA,FFTY
428,MYNA,ARKX
429,MYPS,XSW
430,NABL,"XSW,HACK"
431,NCNO,XSW
432,NCR,XSW
433,NEM,MTUM
434,NET,"ARKW,HACK"
435,NEWR,XSW
436,NFE,FFTY
437,NFLX,QQQ
438,NI,MTUM
439,NICE,IZRL
440,NIO,ARKQ
441,NIU,ARKQ
442,NLOK,"QQQJ,XSW,HACK"
443,NNDM,"ARKQ,ARKW,IZRL"
444,NNOX,IZRL
445,NOC,MTUM
446,NOVA,TAN
447,NOW,XSW
448,NRIX,ARKG
449,NSIT,PTF
450,NTAP,QQQJ
451,NTCT,"PSJ,HACK"
452,NTES,QQQ
453,NTLA,"ARKK,ARKG"
454,NTNX,XSW
455,NU,"ARKF,ARKW"
456,NUE,MTUM
457,NVAX,QQQJ
458,NVDA,"QQQ,ARKK,ARKF,ARKW"
459,NVMI,IZRL
460,NVTA,"ARKK,ARKG"
461,NWS,QQQJ
462,NWSA,QQQJ
463,NXGN,PSJ
464,NXPI,QQQ
465,ODFL,QQQ
466,OKTA,"QQQ,ARKW,HACK"
467,OLO,XSW
468,ON,"QQQJ,PTF,MTUM"
469,ONEM,ARKG
470,ONVO,"ARKQ,ARKG"
471,OPEN,QQQJ
472,ORCL,XSW
473,ORLY,QQQ
474,OSPN,"XSW,HACK"
475,OTEX,QQQJ
476,OXY,"MTUM,FFTY"
477,PACB,"ARKK,ARKG"
478,PANW,"QQQ,PTF,XSW,MTUM,HACK"
479,PARA,QQQJ
480,PATH,"XSW,ARKK,ARKQ,ARKF,ARKG,ARKW,ARKX"
481,PAYA,XSW
482,PAYC,XSW
483,PAYO,XSW
484,PAYX,"QQQ,XSW,MTUM"
485,PCAR,QQQ
486,PCTY,"QQQJ,XSW"
487,PD,"XSW,ARKK,ARKW"
488,PDD,QQQ
489,PEGA,XSW
490,PENN,QQQJ
491,PEP,"QQQ,MTUM"
492,PERI,IZRL
493,PFE,"MTUM,ARKG,FFTY"
494,PG,MTUM
495,PGR,MTUM
496,PING,"XSW,HACK"
497,PKG,MTUM
498,PLAB,PTF
499,PLD,MTUM
500,PLTK,"QQQJ,PSJ,XSW,IZRL"
501,PLTR,XSW
502,PODD,QQQJ
503,POOL,QQQJ
504,PPC,FFTY
505,PRFT,XSW
506,PRGS,XSW
507,PRLB,"ARKQ,ARKX"
508,PRNT,ARKX
509,PRO,XSW
510,PRTC,IZRL
511,PSA,MTUM
512,PSN,HACK
513,PSNL,ARKG
514,PSTG,PTF
515,PTC,"QQQJ,XSW"
516,PTNR,IZRL
517,PTON,ARKW
518,PUBM,PSJ
519,PXD,"MTUM,FFTY"
520,PYCR,XSW
521,PYPL,"QQQ,XSW"
522,QCOM,"QQQ,PTF"
523,QLYS,"PSJ,XSW,HACK"
524,QRVO,QQQJ
525,QSI,ARKG
526,QTWO,XSW
527,RADA,IZRL
528,RAMP,"XSW,HACK"
529,RBLX,"PSJ,ARKK,ARKW"
530,RDHL,IZRL
531,RDWR,"HACK,IZRL"
532,REE,IZRL
