Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
ETSY,110.41999816894531,67.01000213623047,307.75,109.02000007629394,100.8700004577637,93.00320037841794,107.04233373006186,131.4849002075195,Consumer Cyclical | Internet Retail | USA,39.56,,25.02,10.6,23.6,2.66,2022-08-19,2022-06-21,120.70193342487465,113.47158473554613,2022-04-04,2022-05-30
RNG,45.61999893188477,40.59000015258789,315.0,45.115499877929686,49.62919990539551,58.82630004882814,81.94819997151693,107.95290008544922,Technology | Software - Application | USA,,,25.56,28.4,-338.2,2.48,2022-08-18,2022-09-07,87.29237807854147,86.47815164971995,2022-04-25,2022-05-30
BGNE,170.7100067138672,118.18000030517578,426.55999755859375,174.96050262451172,178.40660186767582,162.8746007537842,174.3906005350749,198.4940506362915,Healthcare | Biotechnology | USA,,,,127.7,20.6,-11.17,2022-08-17,2022-08-05,101.13306328219095,104.0932438197884,2022-08-29,2022-05-30
PLTR,7.789999961853027,6.440000057220459,29.290000915527344,8.26949999332428,9.240999994277956,9.223499989509582,10.320933338801067,12.060349967479706,Technology | Software - Infrastructure | USA,,,62.52,25.9,58.6,0.19,2022-08-09,2022-07-27,87.68879503924862,92.29829394797041,2022-08-15,2022-05-30
CGEN,1.0399999618530271,0.9900000095367432,7.480000019073486,1.244999986886978,1.58199999332428,1.7858999943733218,2.218133331934611,2.6926999938488008,Healthcare | Biotechnology | Israel,,,,,-8.9,,2022-07-15,2022-05-17,68.76188969625214,78.20814110703782,2022-08-01,2022-05-30
IOT,13.050000190734865,,,14.936500072479248,14.644400024414065,13.095400018692017,14.427133337656658,,Technology | Software - Infrastructure | USA,,,,62.6,-67.2,-0.18,2022-08-19,2022-08-03,109.0508664698848,108.00671586349094,2022-08-29,2022-05-23
AUDC,22.809999465942386,19.6200008392334,37.349998474121094,22.51787700653076,22.54162700653076,22.400536212921143,23.79453194936116,26.008039636611944,Technology | Communication Equipment | Israel,24.4,2.71,69.8,12.9,20.5,1.67,2022-08-29,2022-09-09,98.38798977756218,98.95202096375958,2021-11-22,2022-05-23
CLBT,4.570000171661377,4.099999904632568,13.239999771118164,4.902500033378602,5.24399998664856,5.122499976158141,5.626133311589558,6.0731499910354625,Technology | Software - Infrastructure | Israel,5.82,1.14,,5.7,-37.5,0.15,2022-08-11,2022-08-05,92.27412623355059,95.89059136767672,2022-08-15,2022-05-23
IRDM,45.13000106811523,31.729999542236328,48.95000076293945,45.26000003814697,42.86840019226073,39.704600028991706,39.35580009460449,39.21765003204346,Communication Services | Telecom Services | USA,,,20.16,16.7,83.4,0.23,2022-08-17,2022-06-21,112.45325446099335,109.1655411641337,2022-08-29,2022-05-23
TCOM,25.54999923706055,14.289999961853027,33.27000045776367,26.34000015258789,26.16440013885498,24.12060007095337,24.338933372497557,24.571100072860716,Consumer Cyclical | Travel Services | China,,,,0.0,83.9,8.04,2022-08-30,2022-08-23,100.5379763459497,103.97231342051424,2022-08-29,2022-05-23
NCNO,35.939998626708984,23.940000534057614,79.43000030517578,33.21100006103516,33.21020015716553,33.40410009384155,37.20866675059001,40.895600061416616,Technology | Software - Application | USA,,,,49.8,-10.6,0.03,2022-08-18,2022-09-08,104.93565940277054,100.99851800642824,2022-04-11,2022-05-23
NFLX,233.57000732421875,162.7100067138672,700.989990234375,232.14150009155273,217.61540008544918,204.984100189209,261.42780039469403,334.66915046691895,Communication Services | Entertainment | USA,21.86,2.33,659.65,8.6,81.3,10.74,2022-08-19,2022-05-12,116.54434729125346,109.1113971748766,2022-04-18,2022-05-23
NICE,212.42999267578125,179.1300048828125,319.8800048828125,217.6519989013672,212.14720001220704,205.42669952392575,212.97826629638672,229.95219940185547,Technology | Software - Application | Israel,62.79,5.11,34.77,16.4,0.0,8.33,2022-08-19,2022-07-19,106.72716543167977,103.75347299591564,2022-08-29,2022-05-23
FTCH,10.880000114440918,6.519999980926514,47.29999923706055,9.656500005722046,8.686199960708619,8.970799965858461,11.244399970372518,15.809000012874606,Consumer Cyclical | Internet Retail | United Kingdom,2.99,,,10.7,132.0,-0.96,2022-09-02,2022-09-09,124.38704200810591,111.14512136261885,2022-05-09,2022-05-23
FVRR,36.66999816894531,29.040000915527344,210.5500030517578,36.83950004577637,36.467400093078616,39.7078000831604,50.93599999745687,65.36945010185242,Consumer Cyclical | Internet Retail | Israel,,,44.35,12.9,-294.6,1.08,2022-08-19,2022-08-02,107.16989815948612,99.32199006627279,2022-05-02,2022-05-23
ACCD,11.4399995803833,4.610000133514403,49.47000122070313,11.235499954223632,10.446399927139284,8.857449951171875,11.580299924214682,14.42152492046356,Healthcare | Health Information Services | USA,,,,58.4,-11.9,-2.02,2022-08-19,2022-08-03,118.83101893824812,119.20271721927477,2022-04-25,2022-05-23
CVLT,53.02999877929688,50.66999816894531,84.22000122070312,55.90200004577637,58.24960006713867,59.87639987945557,61.4369332631429,62.8189998435974,Technology | Software - Application | USA,106.06,10.61,15.04,8.0,207.3,3.05,2022-08-24,2022-08-09,93.65992310371193,95.10182368222857,2022-07-11,2022-05-23
CTLP,5.079999923706055,4.2800002098083505,13.25,6.038500022888184,5.904600009918213,5.5152000093460085,6.01520001411438,6.598550009727478,Technology | Information Technology Services | USA,153.94,6.16,,17.5,78.6,,2022-08-19,2022-07-28,106.86218150492996,104.79061107291832,2022-08-22,2022-05-23
CRNT,2.1199998855590816,1.5299999713897705,4.119999885559082,2.288499999046325,2.4963999938964845,2.176799998283386,2.142266664505005,2.2407999992370606,Technology | Communication Equipment | Israel,,,,3.1,15.6,0.08,2022-07-18,2022-06-16,89.72601321834696,101.51122038659248,2022-08-15,2022-05-23
GLBE,33.580001831054695,15.630000114440918,83.7699966430664,32.64300022125244,27.66380012512207,24.379500026702882,27.806733360290533,33.771999988555905,Consumer Cyclical | Internet Retail | Israel,,,117.45,52.4,-1300.0,-0.97,2022-08-30,2022-08-02,133.98842328944872,124.18758794101323,2022-04-18,2022-05-23
GNK,14.0,12.970000267028807,27.149999618530284,14.917999982833862,16.440283832550048,19.039269914627074,19.0706834602356,17.79200701236725,Industrials | Marine Shipping | USA,2.53,,3.06,13.9,179.4,4.04,2022-08-08,2022-07-18,86.17351809585074,86.13346748628813,2022-06-06,2022-05-23
ALTR,51.66999816894531,48.19499969482422,82.95999908447266,53.22449989318848,54.06380012512207,53.71199996948242,56.59606651306152,59.6996999168396,Technology | Software - Infrastructure | USA,,,220.44,10.7,19.5,0.88,2022-08-10,2022-07-19,99.92209351575251,98.79445665269266,2022-08-22,2022-05-23
SDGR,28.04999923706055,20.709999084472656,66.48999786376953,28.230000019073486,30.230900001525878,27.958350048065185,29.032166659037276,30.15557502746582,Healthcare | Health Information Services | USA,,,,29.2,-248.9,-1.61,2022-08-08,2022-09-09,93.07168996256912,98.89366746503723,2022-08-15,2022-05-23
GTLB,57.97999954223633,,,60.524000358581546,59.44340034484864,52.35500011444092,53.29693341573079,59.433000049591065,Technology | Software - Application | USA,,,,75.2,-44.7,-0.76,2022-08-18,2022-08-03,108.67781650827412,109.47941119320095,2022-08-29,2022-05-23
VIVO,32.009998321533196,17.200000762939453,34.380001068115234,32.62099962234497,32.438399620056146,29.68549976348877,28.41913321177165,26.34019989967346,Healthcare | Diagnostics & Research | USA,32.63,1.92,16.05,6.8,51.7,0.86,2022-07-15,2022-06-17,101.1226826299568,104.89801325172864,2022-08-01,2022-05-23
SOL,5.5,3.4600000381469727,9.720000267028807,6.075999999046326,5.7498000144958485,5.225100011825561,5.457000004450481,5.579700007438659,Technology | Solar | USA,91.67,6.11,,-84.6,76.2,0.23,2022-08-17,2022-07-27,123.23902788790943,113.202996154447,2022-08-29,2022-05-23
VHC,1.3899999856948853,0.9900000095367432,4.53000020980835,1.922999995946884,1.7213999938964843,1.5112999963760376,1.6253333290417988,1.866849998831749,Technology | Software - Infrastructure | USA,,,,0.0,-115.4,,2022-08-16,2022-08-15,133.82353150495487,121.7704279721903,2022-09-05,2022-05-23
VERV,38.75,10.699999809265137,78.0,37.49200000762939,30.31700008392334,22.378500061035155,23.40553337097168,25.966800079345703,Healthcare | Biotechnology | USA,,,,,-351.7,-2.86,2022-08-31,2022-08-23,149.56029177944558,147.8250807618009,2022-03-14,2022-05-23
VEEV,179.19000244140625,152.0399932861328,336.5199890136719,202.80000076293945,209.203000793457,194.5358999633789,198.64206654866533,211.6183497619629,Healthcare | Health Information Services | USA,66.56,5.0,36.6,16.5,20.9,4.65,2022-08-10,2022-07-27,98.84149883575563,100.62487756663714,2022-08-22,2022-05-23
BEAM,57.5099983215332,27.770000457763672,116.91000366210938,57.64400043487549,58.2002001953125,47.56084999084473,52.3043667348226,57.60967506408692,Healthcare | Biotechnology | USA,,,34.71,140433.3,-37.7,-5.41,2022-08-01,2022-06-17,105.94906333143247,113.71187199294585,2022-08-22,2022-05-23
VUZI,7.889999866485597,3.880000114440918,16.200000762939453,8.195500040054322,7.978600015640259,6.8953999996185305,6.648466653823853,7.136199998855591,Technology | Consumer Electronics | USA,,,,3.4,-25.8,-0.6,2022-08-19,2022-07-19,110.42277296177052,110.28054327204019,2022-08-22,2022-05-16
AGYS,49.72999954223633,31.489999771118164,58.4900016784668,51.36749973297119,50.450000076293954,44.635000076293956,43.12553347269694,42.86880006790161,Technology | Software - Application | USA,222.01,4440.18,63.96,22.7,118.1,1.0,2022-08-22,2022-08-12,103.42819357881204,107.46544433291204,2022-08-22,2022-05-16
XPEV,16.030000686645508,15.06999969482422,56.45000076293945,19.327500057220462,23.84800003051758,24.46990007400513,26.576933352152505,31.118550062179565,Consumer Cyclical | Auto Manufacturers | China,,,,97.7,7.0,-4.87,2022-08-18,2022-08-12,72.77997203818133,83.54622368304058,2022-07-18,2022-05-16
CRSP,66.95999908447266,42.51100158691406,129.5,69.01699943542481,73.77299964904785,65.65179969787597,64.35553321838378,66.2963498878479,Healthcare | Biotechnology | Switzerland,,,,-100.0,188.8,-7.79,2022-07-22,2022-07-06,93.51819321146331,100.81911426999672,2022-08-15,2022-05-16
ASAN,24.65999984741211,16.190000534057614,145.7899932861328,21.667499828338624,20.749599800109863,21.82019998550415,30.06159994761149,39.861650056839,Technology | Software - Application | USA,,,,57.2,-24.7,-1.08,2022-08-19,2022-09-09,119.62420792624016,105.51086158268744,2022-05-02,2022-05-16
SGEN,155.47000122070312,105.43000030517578,192.7899932861328,160.96949844360353,169.9623992919922,156.18519927978517,149.9895327758789,149.16759956359863,Healthcare | Biotechnology | USA,,,,28.1,-210.1,-1.34,2022-07-08,2022-05-13,93.17536182772922,99.59790670664222,2022-08-01,2022-05-16
ITRN,24.59000015258789,19.729999542236328,29.85000038146973,25.951499938964844,25.298400039672853,24.320286884307862,23.645988604227703,24.001650161743164,Technology | Communication Equipment | Israel,14.75,0.97,54.67,8.7,112.9,2.29,2022-08-26,2022-07-21,105.52670272940172,103.7396499066637,2022-08-29,2022-05-16
MANT,95.9499969482422,66.91000366210939,96.0,95.86849899291992,95.76019897460938,92.83136199951171,89.69729766845703,85.12961944580078,Technology | Software - Application | USA,32.22,5.99,50.53,3.2,12.7,3.77,2022-06-07,2022-05-11,100.168672682965,101.31362141556629,2022-06-27,2022-05-16
MGIC,16.799999237060547,15.079999923706055,25.489999771118164,17.4336877822876,18.202967796325684,17.484053106307982,17.557677618662513,18.134343762397766,Technology | Software - Application | Israel,26.09,2.31,77.03,14.9,16.3,1.17,2022-07-27,2022-06-23,94.88606398956672,97.9688224891098,2022-08-15,2022-05-16
MNDY,130.33999633789062,85.75,450.0,122.37200012207032,115.23640045166016,115.50700035095215,131.68966705322265,165.9655500793457,Technology | Software - Application | Israel,,,,75.2,22.0,-1.94,2022-08-19,2022-09-09,120.87372236391191,109.30747171950372,2022-05-09,2022-05-16
MYPS,3.5799999237060547,3.240000009536743,6.5999999046325675,3.762000000476837,3.914200029373169,4.716350011825561,4.69363333384196,4.556474995613097,Communication Services | Electronic Gaming & Multimedia | USA,,,13.56,-3.4,-15.6,-0.06,2022-08-24,2022-07-21,93.14385563495979,90.18254032545606,2022-06-20,2022-05-16
NNDM,2.759999990463257,2.1700000762939453,6.744999885559082,3.075499987602234,3.227399997711182,3.0676499938964845,3.2160999949773155,3.4060749912261965,Technology | Computer Hardware | Israel,,,,1186.1,28.1,,2022-08-19,2022-08-11,94.998273613813,97.57785291750903,2022-08-22,2022-05-16
ECOM,22.920000076293945,11.890000343322756,29.420000076293945,16.870500135421754,15.636600017547607,14.807400035858155,15.57446667989095,17.490850019454957,Technology | Software - Application | USA,17.95,2.24,23.52,3.1,139.1,1.01,2022-08-23,2022-09-06,112.30240570428995,110.22496411692505,2022-05-02,2022-05-16
NRIX,15.869999885559082,7.519999980926514,37.42499923706055,16.046000003814694,16.28619998931885,13.537399978637696,14.015866648356118,16.938450002670287,Healthcare | Biotechnology | USA,,,,60.6,-145.6,-3.83,2022-08-12,2022-08-04,105.13181041196225,112.2240748742704,2022-08-22,2022-05-16
LCID,15.079999923706055,13.25,57.75,16.40549988746643,17.942399845123287,18.11339987754822,20.39266654332479,25.33194994449616,Consumer Cyclical | Auto Manufacturers | USA,,,,18326.5,-572.8,-1.05,2022-07-26,2022-07-06,87.87826043358223,91.55940017366063,2022-08-15,2022-05-16
PRLB,40.060001373291016,37.349998474121094,79.2699966430664,41.255500411987306,45.23000030517578,45.42049999237061,47.95460006713867,48.670649967193604,Industrials | Metal Fabrication | USA,45.27,1.81,22.3,3.2,-36.2,1.86,2022-08-08,2022-09-09,87.84407278369102,91.82155544705631,2022-08-08,2022-05-16
PYPL,96.2300033569336,67.58000183105469,296.70001220703125,95.5582504272461,87.51640045166016,84.65600036621093,93.15506703694662,115.11650039672851,Financial | Credit Services | USA,55.53,4.3,21.85,9.1,-0.7,4.78,2022-08-19,2022-07-05,122.34700132054964,111.47710048390982,2022-05-09,2022-05-16
INMD,33.209999084472656,20.600000381469727,99.2699966430664,32.92650003433228,31.04980014801025,27.86440008163452,31.85506674448649,39.37529995918275,Healthcare | Medical Devices | Israel,16.54,0.5,15.22,30.0,115.2,2.39,2022-08-16,2022-06-24,122.72000841226814,114.23995078487488,2022-04-11,2022-05-16
RUN,38.45000076293945,16.799999237060547,60.599998474121094,34.10899972915649,30.19609992980957,26.69304998397827,26.94756666819255,28.8486750125885,Technology | Solar | USA,,,,45.7,68.8,-0.42,2022-08-19,2022-09-08,132.3323551718634,121.42286003756064,2022-04-18,2022-05-16
LI,26.32999992370605,16.860000610351562,41.4900016784668,29.286500263214112,33.13680023193359,29.838800144195556,28.905333417256674,29.153700046539306,Consumer Cyclical | Auto Manufacturers | China,,,22.51,73.3,61.1,1.93,2022-07-07,2022-05-16,82.24369674413076,95.70461798238348,2022-07-25,2022-05-16
SHOP,34.810001373291016,29.06999969482422,176.2917938232422,33.90700025558472,35.00800029754639,36.66493015289306,47.22314020792643,66.68569984436036,Technology | Software - Application | Canada,,,776.43,15.7,784.3,0.01,2022-08-17,2022-09-09,101.51227194266741,96.44494073614729,2022-04-25,2022-05-16
ATAI,4.349999904632568,2.9500000476837163,17.899999618530273,4.503999996185303,4.248799986839295,4.063900001049042,4.48630000591278,5.313825005292894,Healthcare | Biotechnology | Germany,,,,,-9.0,-1.04,2022-08-29,2022-08-25,112.68748017733999,108.97523581473378,2022-05-09,2022-05-16
