Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
AAL,13.890000343322756,11.93000030517578,22.350000381469727,14.132499980926516,14.111200065612795,15.405499992370606,15.880799961090087,16.357099967002867,Industrials | Airlines | USA,,,,79.5,83.1,1.43,2022-08-19,2022-08-01,102.35680283178115,98.20443310809816,2022-08-29,2022-09-05
MELI,887.6900024414062,600.6799926757812,1970.1300048828125,935.6214935302736,835.3727978515625,832.7176000976563,920.5011983235677,984.1871487426756,Consumer Cyclical | Internet Retail | Uruguay,187.75,,40.99,52.5,281.0,11.31,2022-08-18,2022-06-23,132.47757743497507,115.8168208399654,,
META,160.38999938964844,154.25,384.3299865722656,167.80050048828124,167.0890005493164,178.24590042114258,190.78420064290364,224.81805068969726,Communication Services | Internet Content & Information | USA,13.29,1.76,12.43,-0.9,36.4,11.0,2022-08-22,2022-08-04,101.3113929608265,97.75274236131386,,
MGA,56.38000106811523,52.47000122070313,90.1500015258789,60.39149990081787,59.66179985046386,60.32659992218018,62.858351796468106,67.25844295501709,Consumer Cyclical | Auto Parts | Canada,24.95,0.63,43.17,3.6,98.4,7.14,2022-08-17,2022-08-10,104.4640085187698,100.56540025921741,,
MGI,10.40999984741211,5.059999942779541,10.869999885559082,10.364500045776367,10.246600017547607,10.112799987792966,10.192599995930989,9.539700000286102,Financial | Credit Services | USA,,,30.37,0.1,-316.1,0.65,2022-08-18,2022-08-05,102.24462558514831,101.85155028234215,,
MGIC,16.729999542236328,15.079999923706055,25.489999771118164,17.846999835968017,18.495000038146973,17.754800024032594,17.906666673024496,18.58600000858307,Technology | Software - Application | Israel,25.98,2.3,76.71,14.9,16.3,1.17,2022-07-27,2022-06-23,96.78234616040169,98.9577302497299,,
MITK,9.710000038146973,8.319999694824219,23.290000915527344,10.580000019073486,10.145200004577637,10.141800022125244,11.644866676330569,12.922800025939944,Technology | Software - Application | USA,75.27,5.02,14.88,20.5,-3.7,0.94,2022-08-17,2022-07-29,112.27182593168249,105.64951623933592,,
MKC,85.0,77.8499984741211,107.3499984741211,88.22199935913086,86.1343196105957,89.84160102844238,92.71084467569989,92.50739616394043,Consumer Defensive | Packaged Foods | USA,33.6,6.59,216.98,-1.3,0.8,3.29,2022-08-23,2022-06-24,105.30542318635365,100.81110638443907,,
MKFG,2.3399999141693115,1.7200000286102295,9.279999732971193,2.6105000019073485,2.316199998855591,2.5563000059127807,3.0489333359400432,3.660749996900559,Technology | Computer Hardware | USA,9.29,,,18.6,136.6,-0.21,2022-08-22,2022-07-05,130.9520680959371,111.15185366495243,,
MLI,62.29999923706055,40.150001525878906,70.37999725341797,66.0340929031372,62.023747634887705,58.06658283233642,57.23682072957357,57.031282749176036,Industrials | Metal Fabrication | USA,5.35,0.45,7.83,13.6,233.5,7.25,2022-08-12,2022-07-15,115.97611884031099,110.0332456780434,,
MLNK,17.940000534057614,13.8100004196167,29.0,17.64949998855591,17.621799964904785,17.301199989318846,17.797533276875814,18.378099966049195,Technology | Software - Application | USA,,,16.52,6.6,-54.9,0.47,2022-08-18,2022-09-07,101.59104095065388,101.2277012934004,,
MMC,165.55999755859375,142.8000030517578,183.13999938964844,167.72350006103517,161.41757354736328,159.72334564208984,159.1783699544271,160.40429862976075,Financial | Insurance Brokers | USA,24.98,3.05,47.7,7.2,55.6,7.46,2022-08-22,2022-07-21,107.46650703478977,104.24845521998772,,
MMS,60.709999084472656,56.5,88.51000213623047,62.56805038452149,63.22042953491211,64.69047721862793,68.16006276448567,70.37159233093261,Industrials | Specialty Business Services | USA,20.26,1.62,11.19,-9.5,37.8,3.36,2022-08-08,2022-06-21,99.08238938545405,98.2516878352743,,
MNDT,22.84000015258789,13.755000114440918,23.32999992370605,22.864000225067137,22.59220016479492,22.24860010147095,21.620600051879887,20.337950015068053,Technology | Software - Infrastructure | USA,,,,21.1,-14.6,-0.09,2022-08-05,2022-06-23,102.35559605024024,102.10051920560177,,
MNDY,117.70999908447266,85.75,450.0,123.4770004272461,114.43800048828123,115.63070045471191,132.47713368733721,168.16865013122558,Technology | Software - Application | Israel,,,,75.2,22.0,-1.94,2022-08-19,2022-07-27,121.12835434206949,109.4834232532907,,
MNRL,27.479999542236328,17.799999237060547,33.639999389648445,29.00933532714844,26.241402359008788,26.647638454437256,25.58792119344076,24.332079782485962,Energy | Oil & Gas E&P | USA,13.4,0.47,13.36,140.5,199.2,2.72,2022-09-01,2022-07-18,116.38706450157473,108.50420303822456,,
MNST,90.4499969482422,71.77999877929688,99.80999755859376,89.9729995727539,93.35559967041016,90.44019996643068,87.28566675821942,87.95455017089844,Consumer Defensive | Beverages - Non-Alcoholic | USA,39.52,2.7,43.16,22.1,-2.4,3.06,2022-08-02,2022-09-07,94.046423618408,98.2526449849644,,
MNTV,6.710000038146973,6.579999923706055,25.0,7.312499976158142,8.300599985122679,10.621499981880188,12.477066653569539,14.257549993991852,Technology | Software - Application | USA,,,81.51,9.9,-28.0,0.31,2022-08-22,2022-08-25,82.0499866388317,82.32036912148199,,
MO,44.95000076293945,41.0,57.04999923706055,45.369500160217285,43.89240020751953,47.52291519165039,48.44535280863443,47.64772336959839,Consumer Defensive | Tobacco | USA,46.24,10.86,52.35,-5.7,-44.6,5.09,2022-08-31,2022-07-08,105.88150691010985,100.1951294106834,,
MODN,30.40999984741211,20.950000762939453,37.38999938964844,30.55149974822998,27.59519981384277,26.019999923706056,25.896733258565263,26.50039995193481,Technology | Software - Application | USA,,,42.57,10.2,-108.7,0.77,2022-08-24,2022-08-03,116.83620761859336,111.9861829254589,,
MOS,53.11999893188477,30.57999992370605,79.27999877929688,55.73804264068603,51.3162989807129,55.66718292236328,56.24560012817383,51.69742763519288,Basic Materials | Agricultural Inputs | USA,6.05,0.68,11.49,91.8,153.6,10.73,2022-08-31,2022-07-11,116.1262915454018,106.46080931511277,,
MPC,98.33999633789062,56.08000183105469,114.3499984741211,100.02999954223631,92.08679992675779,93.74360015869141,89.02692270914713,83.25099657058716,Energy | Oil & Gas Refining & Marketing | USA,6.64,0.21,5.46,81.6,111.9,11.68,2022-09-01,2022-07-15,114.58453853233794,107.67351375445791,,
MPWR,427.1900024414063,348.0199890136719,580.0,487.83999938964837,455.7228015136719,439.2731008911133,439.4278678385417,449.0668516540528,Technology | Semiconductors | USA,61.31,2.45,78.54,57.2,44.5,14.2,2022-08-18,2022-07-12,120.75695571146166,110.07668645769813,,
