Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
ASML,467.1900024414063,412.6700134277344,895.9299926757812,533.2315002441406,515.5007385253906,533.2307406616211,569.2507261149088,616.4008818054199,Technology | Semiconductor Equipment & Materials | Netherlands,33.78,1.13,22.55,35.1,69.1,20.73,2022-08-15,2022-07-14,111.96115118179335,103.15752834099092,2022-08-22,2022-07-18
ARRY,20.270000457763672,5.445000171661377,27.67099952697754,21.322000122070317,16.234700050354004,12.922050018310546,12.168166669209798,13.210950002670288,Technology | Solar | USA,-,-,-,21.1,-217.8,0.93,2022-08-22,2022-07-22,171.76991564615747,150.0283416455526,2022-07-11,2022-07-18
MTCH,55.18000030517578,53.470001220703125,182.0,61.7709997177124,67.41259902954101,72.96514953613281,83.93589970906575,94.83772476196287,Communication Services | Internet Content & Information | USA,161.82,7.54,30.97,12.2,-55.9,2.06,2022-08-17,2022-08-16,88.69036121468967,89.38879819290868,2022-08-15,2022-07-18
LBTYA,19.959999084472656,19.520000457763672,30.57999992370605,20.94350023269653,21.19160015106201,22.26470006942749,23.53540002187093,24.530149984359745,Communication Services | Entertainment | United Kingdom,2.75,-,5.39,-41.3,937.1,0.02,2022-08-19,2022-07-18,99.12927881774613,96.9660758432556,2022-08-22,2022-07-18
RMBS,24.68000030517578,20.0,33.75,26.80300016403198,24.566600074768065,24.557800102233887,25.766666730244957,26.181300048828124,Technology | Semiconductors | USA,-,-,13.42,42.6,144.7,1.7,2022-08-23,2022-07-07,119.78726222163216,109.75168487481824,2022-08-29,2022-07-18
KLAC,335.25,282.8299865722656,457.1199951171875,365.0526092529297,350.5791345214844,342.02622680664064,346.59341105143227,361.47365951538086,Technology | Semiconductor Equipment & Materials | USA,15.3,1.35,20.2,29.1,63.9,23.65,2022-08-10,2022-07-13,112.30794812231144,105.970095065306,2022-08-22,2022-07-18
MTRX,5.519999980926514,4.239999771118164,11.760000228881836,5.626499986648559,5.293399982452392,5.736299991607666,6.343466657002767,6.74854998588562,Energy | Oil & Gas Equipment & Services | USA,-,-,-,19.4,-10.9,-0.07,2022-09-01,2022-07-18,110.35153932186633,102.52596248636412,2022-06-13,2022-07-18
ROP,400.9200134277344,369.510009765625,505.0,423.2809997558594,414.1931658935547,422.8406887817383,432.95063130696616,441.15859481811526,Industrials | Specialty Industrial Machinery | USA,46.47,5.08,37.05,10.2,18.1,14.72,2022-08-18,2022-06-24,105.31320436126218,101.71292263622948,2022-08-22,2022-07-18
JNPR,28.01000022888184,26.200000762939453,38.13999938964844,28.763537979125974,28.41115814208984,29.625865936279297,31.16174405415853,31.53344069480896,Technology | Communication Equipment | USA,23.7,1.64,-,8.3,-0.9,2.21,2022-08-31,2022-08-03,101.01840300074232,99.18534278788157,2022-04-11,2022-07-18
TRMB,62.119998931884766,55.34999847412109,96.48999786376952,67.9359998703003,64.56379989624024,64.93879978179932,66.48439979553223,70.45724996566773,Technology | Scientific & Technical Instruments | USA,30.35,3.03,33.07,-0.4,25.4,3.11,2022-08-19,2022-07-06,112.4738913384091,105.40030257703212,2022-08-29,2022-07-18
IT,288.9200134277344,221.38999938964844,369.0,300.8605010986328,272.59020141601565,268.2872012329101,275.4057346598307,284.2811006164551,Technology | Information Technology Services | USA,32.61,4.73,21.16,17.9,210.8,9.34,2022-08-23,2022-06-24,120.87293185279526,111.792674398346,2022-06-06,2022-07-18
SABR,7.099999904632568,5.449999809265137,12.649999618530272,7.48199999332428,6.810800008773803,7.513550038337708,8.41043334643046,8.467200021743775,Technology | Information Technology Services | USA,-,-,-,56.7,33.8,0.02,2022-08-22,2022-06-24,119.23741512516096,107.95836214719608,2022-07-11,2022-07-18
FSLR,126.41000366210938,59.59999847412109,130.9499969482422,118.20650100708008,93.22440063476564,81.69720039367675,79.56673344930013,82.45465015411376,Technology | Solar | USA,71.62,12.69,-,-1.3,17.4,2.18,2022-08-22,2022-07-19,159.7844723677333,138.8800589530934,2022-07-11,2022-07-18
PCAR,86.47000122070312,77.0,97.55999755859376,91.20599060058592,87.11007934570313,85.69770027160645,86.82083374023438,86.9968034362793,Industrials | Farm & Heavy Construction Machinery | USA,13.64,0.9,36.25,22.5,42.2,7.83,2022-08-22,2022-07-19,109.53128484458078,104.96710404310696,2022-08-29,2022-07-18
EXPE,102.0999984741211,88.69999694824219,217.72000122070312,107.58150062561036,102.22000045776367,120.90720016479492,144.0027330525716,151.29464988708497,Consumer Cyclical | Travel Services | USA,48.69,2.14,5.26,50.7,90.5,9.43,2022-08-23,2022-06-28,109.65130278318456,99.7359636509488,2022-04-04,2022-07-18
FIS,89.97000122070312,85.0,130.5500030517578,97.10400009155276,96.90599990844728,97.92304061889648,98.53873051961264,101.14756847381592,Technology | Information Technology Services | USA,65.34,4.46,15.89,7.0,166.5,7.9,2022-08-19,2022-08-12,102.07044022874214,99.92551510954397,2022-08-22,2022-07-18
EXPD,101.68000030517578,92.58000183105467,137.8000030517578,105.7400005340576,102.12040008544922,102.55887794494627,102.90965199788413,108.55685440063476,Industrials | Integrated Freight & Logistics | USA,11.22,-,13.23,27.5,102.9,5.75,2022-08-23,2022-07-15,106.60600196357022,103.08299956460496,2022-08-29,2022-07-18
WU,14.5600004196167,14.510000228881836,21.96999931335449,15.833000087738036,16.325400009155274,16.824260663986205,17.275010089874268,17.261552081108093,Financial | Credit Services | USA,6.51,-,9.54,-11.7,9.9,1.83,2022-08-05,2022-06-27,96.25969589836396,96.07441949315528,2022-08-22,2022-07-18
ABNB,113.63999938964844,86.70999908447266,212.58399963378903,116.8365005493164,108.06000030517578,118.11560020446775,132.40580032348632,141.34035037994386,Consumer Cyclical | Travel Services | USA,61.96,1.35,26.14,57.6,92.4,2.52,2022-08-19,2022-07-05,117.78264841215896,106.17857227877832,2022-04-18,2022-07-18
VERX,12.760000228881836,9.4399995803833,22.8799991607666,13.49850001335144,12.086399955749512,12.19359998703003,12.822866655985514,13.769049997329711,Technology | Software - Application | USA,-,-,54.39,13.7,98.2,0.36,2022-08-24,2022-07-28,119.40685589812126,111.97481943374405,2022-07-11,2022-07-18
