Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
BLDE,5.1599998474121085,4.1599998474121085,11.989999771118164,5.449999904632568,5.3570999431610105,6.160149960517884,6.6227666346232095,6.900824973583221,Industrials | Airports & Air Services | USA,,,,187.2,101.1,-0.22,2022-08-18,2022-07-07,112.31885095717476,100.6898867376557,,
BLI,3.9600000381469727,3.5,37.86000061035156,4.066499984264373,4.567899985313416,4.7812499952316285,5.469166676203411,7.909575021266937,Healthcare | Biotechnology | USA,,,,-0.5,-60.1,-0.81,2022-08-17,2022-09-09,87.5604214757963,89.62061911597813,,
BLKB,50.86000061035156,48.52000045776367,86.95999908447266,54.21450023651123,56.37140007019043,57.21800006866455,58.581466700236,62.58715003967285,Technology | Software - Application | USA,,,14.93,15.5,-25.4,2.84,2022-08-05,2022-07-20,94.50416689264208,95.49068459238484,,
BMBL,27.489999771118164,15.40999984741211,61.04999923706055,27.58199977874756,31.476000061035155,29.351800060272218,28.23226669311524,29.34005002975464,Technology | Software - Application | USA,,,34.26,-38.2,211.2,0.32,2022-08-09,2022-09-09,86.95990820282385,94.46971865553749,,
BMRN,92.93000030517578,70.7300033569336,97.76000213623048,92.25799980163576,89.81400024414063,84.41780021667479,83.61060012817383,84.39850017547606,Healthcare | Biotechnology | USA,402.29,,1120.04,6.4,328.6,2.06,2022-08-18,2022-08-04,107.24708604747852,106.38015907501577,,
BMY,70.16000366210939,53.22000122070313,80.58999633789062,71.33549995422364,73.11339965820312,74.37808235168455,72.83823964436849,69.6424927520752,Healthcare | Drug Manufacturers - General | USA,23.32,5.14,15.46,1.6,178.0,8.03,2022-08-24,2022-08-09,96.66637548428179,97.20838005112772,,
BNR,3.5899999141693115,1.7400000095367432,21.364999771118164,3.363000023365021,3.3044000148773187,3.3958000218868256,5.11193336725235,6.492850019335747,Healthcare | Diagnostics & Research | China,,,,27.1,-11.2,-5.52,2022-09-02,2022-09-09,105.66896597781005,108.06887563327078,,
BNTX,150.91000366210938,117.08000183105469,374.8500061035156,148.82900009155273,157.87760009765626,152.50112518310547,154.55109792073569,175.70482521057133,Healthcare | Biotechnology | Germany,3.29,,4.06,-39.8,-16.9,18.7,2022-08-09,2022-09-09,93.30827829150091,97.70058030458424,,
BOX,27.13999938964844,22.18000030517578,33.040000915527344,28.19549999237061,28.020200004577635,27.817400035858153,27.67533339182536,27.17865006446839,Technology | Software - Infrastructure | USA,,,16.98,14.7,-24.2,1.46,2022-08-19,2022-06-24,104.68501695945496,102.32113677538669,,
BR,172.41000366210938,132.39999389648438,185.3999938964844,173.96650009155275,163.05599975585938,152.59489654541017,151.41301472981772,155.59211807250978,Technology | Information Technology Services | USA,37.91,3.21,168.5,12.5,-2.1,7.68,2022-08-22,2022-06-24,113.18469152871633,109.33745145327049,,
BRKR,58.290000915527344,54.790000915527344,92.3499984741211,58.653715896606435,61.97452346801758,61.362779388427725,63.032179438273104,66.18686622619629,Healthcare | Medical Devices | USA,32.33,1.91,99.41,3.1,77.6,2.54,2022-08-05,2022-09-09,91.8191565217001,95.20576636244391,,
BSY,38.47000122070313,26.31999969482422,71.91999816894531,38.273014831542966,37.536115798950185,36.45148591995239,37.66420271555583,39.47702454566956,Technology | Software - Application | USA,121.36,20.23,43.35,19.8,-29.8,0.89,2022-08-17,2022-07-19,107.40138943901556,104.44527672466957,,
BTRS,7.039999961853027,3.950000047683716,11.954999923706055,6.944500041007996,6.317000036239624,5.865200023651124,6.120333350499472,6.38660001039505,Technology | Software - Application | USA,,,,22.6,-258.6,-0.23,2022-08-19,2022-07-27,124.3113560258588,115.57549463499404,,
CACI,280.6400146484375,238.2899932861328,313.5199890136719,280.018000793457,284.22680114746095,278.7570011901855,280.9460669962565,277.4185000610352,Technology | Information Technology Services | USA,18.11,7.55,9.86,5.0,-15.4,20.15,2022-08-04,2022-09-09,97.46729477465219,99.29653510656135,,
