Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
PENN,30.86000061035156,26.459999084472656,86.4000015258789,33.891000270843506,33.19920009613037,33.11400003433228,37.05000006357829,39.83589999198914,Consumer Cyclical | Resorts & Casinos | USA,26.51,4.77,9.14,5.2,147.8,2.12,2022-08-18,2022-07-15,107.05417332865689,102.74169677387405,2022-09-05,2022-09-06
MPWR,418.8900146484375,348.0199890136719,580.0,492.0334991455078,455.4854559326172,438.792890625,438.5648069254557,448.70229049682615,Technology | Semiconductors | USA,60.12,2.4,77.01,57.2,44.5,14.2,2022-08-18,2022-07-12,122.23075047260515,111.1008881422364,2022-08-29,2022-07-18
PLAB,15.449999809265135,12.18000030517578,25.809999465942386,21.748000001907354,21.276200008392333,19.463700046539305,18.807733395894367,18.34930003643036,Technology | Semiconductor Equipment & Materials | USA,9.3,0.93,13.4,28.0,73.1,2.13,2022-08-16,2022-08-12,111.7196187998203,107.20977702166937,2022-08-22,2022-07-18
ABNB,113.6999969482422,86.70999908447266,212.58399963378903,116.73050041198731,108.26380020141602,117.65150016784668,132.1373336283366,140.91330036163333,Consumer Cyclical | Travel Services | USA,62.0,1.35,26.15,57.6,92.4,2.52,2022-08-19,2022-07-05,117.57540732317861,106.02740415741144,2022-04-25,2022-07-18
PSA,339.3800048828125,292.32000732421875,421.760009765625,344.71699981689454,323.55786499023435,324.16662536621095,333.79701029459636,333.9012324523926,Real Estate | REIT - Industrial | USA,28.91,1.7,58.72,24.4,56.9,12.05,2022-08-23,2022-06-22,107.91840245226436,103.97595603915177,2022-04-25,2022-07-18
RJF,103.4000015258789,84.86000061035156,117.37000274658205,106.9590000152588,99.05110137939455,97.81788955688477,100.6374612935384,100.46790504455566,Financial | Capital Markets | USA,14.72,1.72,2.57,10.6,71.0,9.36,2022-08-23,2022-06-24,114.4528101827882,108.1711793309382,2022-04-18,2022-07-18
PRFT,72.91999816894531,71.8499984741211,153.27999877929688,81.71749916076661,90.12839996337893,94.36289993286131,97.92426666259766,103.94740016937256,Technology | Information Technology Services | USA,34.69,2.04,33.74,21.0,61.9,4.93,2022-08-05,2022-06-27,89.47731415459387,91.45326773438332,2022-08-08,2022-07-18
NCR,29.8799991607666,27.04999923706055,45.91999816894531,32.47150020599365,31.8544002532959,33.11110000610351,35.29660003662109,36.574999980926506,Technology | Information Technology Services | USA,71.14,17.79,5.46,19.1,296.9,3.54,2022-08-17,2022-07-19,106.2838296673768,101.03592725526954,2022-09-05,2022-07-18
ROP,396.9200134277344,369.510009765625,505.0,421.57649993896484,413.9898571777344,422.11209625244146,432.69061177571615,440.69945693969726,Industrials | Specialty Industrial Machinery | USA,46.01,5.03,36.68,10.2,18.1,14.72,2022-08-18,2022-06-24,104.74294154216422,101.33153166691834,2022-08-22,2022-07-18
NXPI,160.75,140.33000183105472,239.9100036621093,174.29600067138668,169.6288006591797,172.1951628112793,176.59185516357422,186.87160995483399,Technology | Semiconductors | Netherlands,17.55,1.59,14.37,27.6,30.8,13.71,2022-08-17,2022-08-15,108.71661635889332,102.43213996454088,2022-08-22,2022-07-18
NVMI,95.56999969482422,81.62999725341797,149.14999389648438,104.41599960327149,99.7168000793457,99.70000030517578,103.21933354695636,110.04195022583008,Technology | Semiconductor Equipment & Materials | Israel,24.43,0.76,27.66,44.9,88.7,4.94,2022-08-19,2022-08-12,111.70375952998538,104.71461649300288,2022-08-29,2022-07-18
